start date,name,sport type,distance (meters),moving time (seconds),elapsed time (seconds),total elevation gain (meters),average speed (meters/second),max speed (meters/second),average watts (watts),max watts (watts),average heartrate (bpm),max heartrate (bpm),kilojoules (kJ),elev high (meters),elev low (meters),timezone,achievement count,kudos count,athlete count
2024-09-16T11:34:47Z,Morning Run,Rowing,13825.7,3959,4814,44.4,3.492,7.58,,,118.6,158.0,,8.0,-0.6,(GMT-05:00) America/New_York,0,0,1
2024-09-15T12:33:17Z,Morning Run,Run,8053.8,2302,2315,55.2,3.499,5.458,,,140.9,173.0,,12.2,-0.8,(GMT-05:00) America/New_York,0,0,1
2024-09-14T12:32:08Z,Morning Run,Rowing,16226.7,4520,5090,67.0,3.59,8.02,,,148.9,187.0,,7.4,-3.0,(GMT-05:00) America/New_York,7,0,2
2024-09-13T21:10:44Z,Afternoon Row,Rowing,0.0,2883,2883,0.0,0.0,0.0,,,163.8,184.0,,0.0,0.0,(GMT-04:00) America/Anguilla,0,0,1
2024-09-13T11:31:56Z,Morning Run,Rowing,16131.5,4069,4489,48.6,3.964,7.1,,,152.7,178.0,,6.2,-3.6,(GMT-05:00) America/New_York,33,0,3
2024-09-12T11:37:59Z,Morning Run,Run,10494.0,3315,4348,48.6,3.166,5.808,,,128.5,176.0,,7.6,-3.4,(GMT-05:00) America/New_York,0,0,1
2024-09-11T21:42:25Z,Afternoon Run,Rowing,11658.8,3725,4396,32.0,3.13,5.98,,,131.1,165.0,,9.6,-1.8,(GMT-05:00) America/New_York,0,0,1
2024-09-10T11:41:49Z,Morning Run,Run,9409.8,3226,4297,31.6,2.917,6.462,,,116.8,143.0,,4.2,-2.4,(GMT-05:00) America/New_York,0,0,1
2024-09-09T20:56:26Z,Afternoon Row,Rowing,0.0,4719,4719,0.0,0.0,0.0,,,121.5,172.0,,0.0,0.0,(GMT-04:00) America/Anguilla,0,0,1
2024-09-09T11:31:31Z,Morning Run,Rowing,10958.0,2952,3324,30.4,3.712,6.22,,,126.8,157.0,,4.6,-2.2,(GMT-05:00) America/New_York,8,0,1
